,game,player,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five
186,20150312,842301,"(0.8604539141390878, 3)","(0.9606188939032659, 3)","(0.6698388336114213, 192)","(0.890163691949995, 38)","(0.8497442003706043, 18)","(0.5103122092116121, 2)","(1.193028852310392, 1)","(0.7492239539393356, 41)","(0.8912780841407144, 2)","(0.5553707665881562, 4)"
187,20150312,601140,"(0.8532604123592908, 2)","(0.8493619466859123, 5)","(0.8595341826697289, 16)","(1.0381049846406787, 33)","(1.0071634565781546, 255)",0,"(1.5129155191049544, 2)","(0.8586343699667434, 8)","(1.0201727016104907, 10)","(1.094468327247471, 106)"
188,20150312,756883,"(0.701040709989071, 2)","(0.6965578789869036, 2)","(0.891185299256768, 44)","(0.8371592143284776, 69)","(0.8844558268778543, 378)","(2.6898161475276354, 1)","(1.5619122846315383, 1)","(1.378132389417983, 4)","(0.9764018801792096, 6)","(1.004145369797658, 81)"
189,20150312,842298,"(0.7689052971291455, 2)","(0.7925280924476334, 8)","(0.7182287813732195, 33)","(0.9531926210538838, 100)","(0.9076093554809391, 203)","(1.9476384521932504, 2)","(0.8630172763425262, 2)","(0.8759142442999625, 6)","(0.9590466903362523, 12)","(0.9079605722196576, 73)"
190,20150312,842297,"(1.0, 1)","(0.786218280339028, 7)","(0.6445227444508563, 36)","(0.8406118534628846, 45)","(1.0694458732999934, 316)",0,"(2.1981775271486312, 1)","(0.8624613888639996, 10)","(0.968734507478784, 11)","(1.1390742302441577, 242)"
191,20150312,696290,"(0.8816647443634733, 3)","(0.921534130136107, 15)","(0.8520976562257112, 151)","(0.9217727867770428, 96)","(1.0872953571264643, 77)",0,"(0.2349596612178407, 1)","(0.4718746736545221, 2)","(1.110515532011027, 2)","(1.1957660649348372, 12)"
192,20150312,842296,"(1.0, 1)","(1.0097414771976656, 3)","(0.700929104258377, 27)","(0.8519467348530142, 33)","(0.9605546471243205, 283)","(4.168587788602426, 3)","(1.9038795415034626, 3)","(0.9441984341430087, 6)","(1.0391792663403185, 11)","(1.087339448034066, 57)"
193,20150312,601143,"(0.7930701350427325, 8)","(0.6155904098818707, 20)","(0.5232346788377701, 274)","(0.8609805511519586, 76)","(0.9244115889397274, 54)","(-0.20773157721004623, 10)","(1.0151368918580979, 2)","(0.4932970339238743, 5)","(0.7618177253931854, 6)","(1.0505229876616515, 8)"
194,20150312,786843,0,0,0,"(1.0112011923279618, 18)","(1.071459440020986, 46)",0,0,0,0,"(0.8661208826045721, 2)"
195,20150312,842313,0,"(1.0, 1)","(1.210798789272638, 1)","(1.1260999362643909, 10)","(0.9897706025321416, 39)",0,0,0,0,0
196,20150313,842298,"(0.8480473057440705, 2)","(0.5445039761174525, 7)","(0.8240819955535063, 46)","(0.9387345763386551, 79)","(0.9733326140878298, 172)","(1.4815725097473547, 2)","(1.4837160201870794, 2)","(0.9670336837023387, 12)","(0.8566527913060547, 13)","(0.986438710831443, 61)"
197,20150313,842301,"(0.7767981310383206, 4)","(0.8104645546525393, 11)","(0.8336878923095579, 297)","(0.8558022082452077, 31)","(0.8971138932053678, 38)","(-1.221883879531643, 7)","(0.7779748828647116, 10)","(0.8237053300078018, 38)","(0.8598762832778747, 8)","(1.0301408714347504, 8)"
198,20150313,842297,"(1.0, 2)","(0.8726884172284145, 4)","(0.691978152487823, 33)","(0.7627721715504723, 26)","(0.882073795022746, 294)",0,"(0.25270521517143024, 2)","(0.9102980533824638, 14)","(0.9040792950569886, 15)","(1.0834101891031782, 170)"
199,20150313,601140,"(0.8945576557987487, 4)","(0.7849268935674161, 5)","(0.8382917676036475, 27)","(0.9641307442050961, 60)","(0.8610555445811211, 349)",0,0,"(1.0562490311125572, 7)","(1.0792739171290127, 15)","(0.9694339912986277, 94)"
200,20150313,756883,"(0.8672489536271195, 3)","(0.5813693496198363, 5)","(0.749443860099726, 22)","(0.8647229177108694, 30)","(0.810859679012083, 257)","(-0.14312294001868026, 1)",0,"(0.5520685717589332, 1)","(0.9687204528326753, 2)","(1.0606061405680296, 27)"
