game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_three,frames_three,offball_zone_four,frames_four,offball_zone_five,frames_five,ball_three,frames_three_ball,ball_four,frames_four_ball,ball_five,frames_five_ball,name,position
1,20141114,Presbyterian,W,1,20,6,12,0.5,4,9,0.4444444444444444,2,3,0.6666666666666666,1,1,1,0.8888888888888888,2,1.25,2,2,4,1,1,1,3,2,15,0.9418791080793177,12,0.8581890221721494,24,0.7701261691898322,171,0.8956617056241224,3,0.973398906587889,9,0.8667916406696634,42,Justise Winslow,F
2,20141115,Fairfield,W,1,21,6,10,0.6,5,8,0.625,1,2,0.5,5,7,0.7142857142857143,1.25,1.5,1.8,2,4,6,2,1,1,1,1,18,0.6618186003523827,32,1.0039429553128438,41,0.9122318308122687,227,0.9059560559563457,9,1.0300345928903825,8,0.9535398056278226,62,Justise Winslow,F
3,20141118,Michigan State,W,1,36,4,11,0.36363636363636365,3,9,0.3333333333333333,1,2,0.5,6,9,0.6666666666666666,0.6666666666666666,1.5,1.3636363636363635,1,5,6,3,0,1,2,3,15,0.9444165664075235,48,0.9519978315100277,81,0.9416140503838745,339,0.8352056021842159,15,0.9606925992090849,19,1.0200371142729547,100,Justise Winslow,F
4,20141121,Temple,W,1,28,4,8,0.5,3,4,0.75,1,4,0.25,6,9,0.6666666666666666,1.5,0.75,1.875,0,4,4,1,1,0,1,3,15,0.8136983390519863,53,0.8106977872779606,63,0.8286153798128532,205,0.8473265319279873,10,0.7938817176261028,15,0.8138829446284157,49,Justise Winslow,F
5,20141122,Stanford,W,1,35,4,10,0.4,2,3,0.6666666666666666,2,7,0.2857142857142857,4,10,0.4,1.3333333333333333,0.8571428571428571,1.4,4,5,9,4,1,1,1,2,14,0.8153325913860828,39,0.8470159262686238,75,0.9206070396784041,369,0.8154590177884907,8,0.8646588542555808,20,0.9286739131774089,66,Justise Winslow,F
6,20141126,Furman,W,1,23,2,7,0.2857142857142857,1,4,0.25,1,3,0.3333333333333333,2,4,0.5,0.5,1,1,0,2,2,2,2,0,1,1,7,0.8422976512114294,51,0.9024538821167036,35,0.8688214712539667,200,0.5789573531234422,2,0.9122133818642512,8,0.9640457988543898,41,Justise Winslow,F
7,20141130,Army,W,1,12,3,4,0.75,2,2,1,1,2,0.5,0,0,NaN,2,1.5,1.75,0,1,1,1,1,0,2,3,7,0.8265465196556246,13,0.7951187146855896,49,0.8630450941058114,110,1.2136674093701214,5,1.1378323853112575,2,0.9884303613012104,24,Justise Winslow,F
9,20141215,Elon,W,1,27,5,10,0.5,4,6,0.6666666666666666,1,4,0.25,1,4,0.25,1.3333333333333333,0.75,1.2,0,3,3,0,2,0,2,4,12,0.9607194391984258,55,0.9846726691501091,40,0.8628255669826674,236,1.06879905598989,4,0.9980758652298708,7,1.0443949061392501,55,Justise Winslow,F
11,20141229,Toledo,W,1,29,4,9,0.4444444444444444,3,7,0.42857142857142855,1,2,0.5,0,1,0,0.8571428571428571,1.5,1,1,4,5,4,1,1,1,3,9,0.7805571921438468,62,0.8433064840233125,44,0.7970095332671052,187,0.8616563378078472,10,0.9425309201472076,14,0.859626514552496,68,Justise Winslow,F
12,20141231,Wofford,W,1,31,5,11,0.45454545454545453,3,7,0.42857142857142855,2,4,0.5,4,4,1,0.8571428571428571,1.5,1.4545454545454546,2,5,7,2,1,0,1,0,16,0.8541853419338751,64,0.8397665572220984,38,0.6928094799279242,241,0.8370492110260339,13,0.8712080503106575,14,0.8323059471525586,74,Justise Winslow,F
13,20150103,Boston College,W,1,26,5,7,0.7142857142857143,4,5,0.8,1,2,0.5,2,3,0.6666666666666666,1.6,1.5,1.8571428571428572,1,6,7,4,0,2,1,3,13,1.054633974727314,35,0.899937618013574,57,0.8344014404403677,258,0.8724166532032229,9,0.8870060516432976,16,0.8565157111642181,61,Justise Winslow,F
16,20150113,Miami (FL),L,1,27,1,6,0.16666666666666666,1,4,0.25,0,2,0,0,4,0,0.5,0,0.3333333333333333,0,2,2,1,0,1,2,2,2,0.9977850317070995,56,0.9855873608878831,73,0.8870803833500438,254,0.9704672933503188,10,1.0526471872335752,25,0.981883100303425,70,Justise Winslow,F
18,20150119,Pitt,W,1,22,2,7,0.2857142857142857,0,3,0,2,4,0.5,1,2,0.5,0,1.5,1,0,2,2,1,1,1,1,2,7,0.7875849216631398,40,0.7473391042203353,46,1.0397210938243848,254,0.8911139286916918,8,0.9872761753263243,8,0.9476692278828606,55,Justise Winslow,F
22,20150204,Georgia Tech,W,1,36,5,6,0.8333333333333334,4,5,0.8,1,1,1,4,7,0.5714285714285714,1.6,3,2.5,3,7,10,3,2,2,1,3,15,0.8174318546523607,67,0.9763307253975898,97,0.9317953786167698,347,0.9928529884177131,6,1.027224377236992,11,1.0490120419298934,56,Justise Winslow,F
23,20150207,Notre Dame,W,1,31,6,11,0.5454545454545454,5,9,0.5555555555555556,1,2,0.5,6,8,0.75,1.1111111111111112,1.5,1.7272727272727273,4,7,11,4,0,2,3,2,19,0.8020889294418144,124,0.8154790408798617,94,0.9237859261484556,247,0.7920985394641699,16,0.8862964206175775,19,0.9116167945489068,77,Justise Winslow,F
26,20150218,UNC,W,1,29,6,10,0.6,5,9,0.5555555555555556,1,1,1,3,6,0.5,1.1111111111111112,3,1.6,1,6,7,2,1,0,1,4,16,0.8214102791361747,70,0.91470689562153,53,0.9325764409969353,320,0.7656381020521279,9,0.9669500919241258,10,0.9213034277438257,66,Justise Winslow,F
27,20150221,Clemson,W,1,37,8,14,0.5714285714285714,7,13,0.5384615384615384,1,1,1,3,4,0.75,1.0769230769230769,3,1.4285714285714286,1,12,13,1,4,0,3,2,20,0.8835387796035288,62,0.9586571847738151,126,0.8961325751474679,351,0.6420928536426613,4,0.917984118422036,15,0.979202375039721,95,Justise Winslow,F
30,20150304,Wake Forest,W,1,25,6,8,0.75,5,7,0.7142857142857143,1,1,1,0,0,NaN,1.4285714285714286,3,1.625,2,4,6,7,6,0,3,1,13,0.8883368267327659,63,1.0094819853207906,83,1.0602527717456618,208,0.7859733013194359,8,0.9127018274519927,14,0.9700392871888258,39,Justise Winslow,F
32,20150312,NC State,W,1,25,3,7,0.42857142857142855,2,4,0.5,1,3,0.3333333333333333,4,4,1,1,1,1.5714285714285714,0,6,6,1,3,0,1,2,11,0.7182287813732195,33,0.9531926210538838,100,0.9076093554809391,203,0.8759142442999625,6,0.9590466903362523,12,0.9079605722196576,73,Justise Winslow,F
33,20150313,Notre Dame,L,1,30,5,8,0.625,5,8,0.625,0,0,NaN,1,1,1,1.25,NaN,1.375,3,8,11,3,1,1,3,3,11,0.8240819955535063,46,0.9387345763386551,79,0.9733326140878298,172,0.9670336837023387,12,0.8566527913060547,13,0.986438710831443,61,Justise Winslow,F
34,20150320,Robert Morris,W,1,24,2,4,0.5,1,2,0.5,1,2,0.5,1,2,0.5,1,1.5,1.5,0,11,11,7,0,1,2,2,6,0.7928342674254508,80,0.9533744633361741,55,0.8339811929189049,207,1.2024736401123552,17,1.0339653517944307,5,1.003336554937771,60,Justise Winslow,F
35,20150322,San Diego State,W,1,34,6,10,0.6,5,8,0.625,1,2,0.5,0,0,NaN,1.25,1.5,1.3,1,11,12,5,4,3,2,2,13,0.8430019688036706,77,0.8661952524794062,113,0.8650753450468709,267,0.9216553652464805,6,0.8389389271837586,23,0.8113938060596037,107,Justise Winslow,F
1,20141114,Presbyterian,W,1,23,6,8,0.75,3,4,0.75,3,4,0.75,0,0,NaN,1.5,2.25,1.875,0,2,2,7,0,0,1,0,15,0.8553851265824233,13,0.7865266621620061,26,0.8648156456534546,167,NaN,NA,0.9099319039717462,8,0.9862445857149286,78,Tyus Jones,G
2,20141115,Fairfield,W,1,23,2,5,0.4,2,2,1,0,3,0,2,3,0.6666666666666666,2,0,1.2,1,2,3,5,2,0,2,0,6,0.6667663711042596,23,0.5891735846206114,21,0.8703737940935548,190,0.9423880152136747,7,0.92862552471768,8,0.9398028392115414,103,Tyus Jones,G
3,20141118,Michigan State,W,1,31,4,5,0.8,2,2,1,2,3,0.6666666666666666,7,7,1,2,2,3.4,0,0,0,4,2,0,0,0,17,0.6709515591982993,30,0.9965779956191553,51,0.9647961506435836,335,1.7249725256562671,3,1.256655677329936,4,1.0145294221463304,135,Tyus Jones,G
4,20141121,Temple,W,1,29,1,7,0.14285714285714285,0,3,0,1,4,0.25,2,2,1,0,0.75,0.7142857142857143,1,4,5,7,3,0,1,1,5,0.7198171288334858,47,0.7591042712037668,37,0.8919932160761058,266,0.8227202431341464,10,1.0094180320033417,13,1.0332114289778054,132,Tyus Jones,G
5,20141122,Stanford,W,1,26,0,6,0,0,3,0,0,3,0,3,4,0.75,0,0,0.5,0,3,3,2,3,0,1,2,3,0.8037603380427384,15,0.7974115449363549,15,0.8858869538695582,252,0.7891688074010359,6,0.9507481746732298,5,1.0045972781369752,113,Tyus Jones,G
6,20141126,Furman,W,1,23,0,2,0,0,1,0,0,1,0,0,0,NaN,0,0,0,0,2,2,7,1,0,2,0,0,1.0344580831690018,17,0.9221760230225733,13,0.8272606914882038,174,0.8987364286470716,3,1.0024957339738942,2,0.9281592029362228,137,Tyus Jones,G
7,20141130,Army,W,1,34,4,8,0.5,3,4,0.75,1,4,0.25,7,8,0.875,1.5,0.75,2,1,4,5,10,1,0,0,1,16,0.7298413835136038,34,0.6063206847625703,18,0.7559508136458488,304,0.9609147815750715,10,1.011331772405559,14,1.005471019526746,221,Tyus Jones,G
9,20141215,Elon,W,1,23,0,1,0,0,1,0,0,0,NaN,4,6,0.6666666666666666,0,NaN,4,1,0,1,4,2,0,4,3,4,0.9218405167400424,16,1.0244187064463828,25,0.917804360382961,220,1.0434870161815901,2,0.9191881730844914,7,1.0915448091637967,111,Tyus Jones,G
11,20141229,Toledo,W,1,34,2,3,0.6666666666666666,0,0,NaN,2,3,0.6666666666666666,9,9,1,NaN,2,5,1,3,4,8,2,0,1,0,15,0.5633867916646416,20,0.8231266609836471,31,0.9647741462285393,272,0.7203360203465468,10,0.9624643418294392,16,1.1080738105444234,117,Tyus Jones,G
12,20141231,Wofford,W,1,32,2,4,0.5,1,2,0.5,1,2,0.5,0,0,NaN,1,1.5,1.25,0,6,6,5,4,0,2,3,5,0.8950911864878313,20,0.9074315077862337,33,0.8695600611808074,275,0.86670854731749,5,1.095466186533732,9,0.9432881250325188,152,Tyus Jones,G
13,20150103,Boston College,W,1,27,0,5,0,0,4,0,0,1,0,3,4,0.75,0,0,0.6,0,4,4,3,0,0,2,0,3,1.0193442031667024,8,1.0161598183238598,18,1.0064166058915036,244,0.6331669263292922,7,0.9628864631251915,6,1.0247418890123485,190,Tyus Jones,G
16,20150113,Miami (FL),L,1,27,2,9,0.2222222222222222,2,6,0.3333333333333333,0,3,0,2,2,1,0.6666666666666666,0,0.6666666666666666,1,1,2,2,0,0,2,3,6,0.735740864393825,25,0.7649221822462299,42,0.7666707040341734,257,1.0216239415435813,10,0.9189710269846253,14,1.0556162837826162,96,Tyus Jones,G
18,20150119,Pitt,W,1,38,7,11,0.6363636363636364,3,5,0.6,4,6,0.6666666666666666,4,5,0.8,1.2,2,2,1,1,2,4,0,0,3,1,22,0.969787018018983,38,0.9557314067299566,29,0.966547536455688,386,1.1457379063306194,4,1.156380452625148,14,1.0695712162791933,230,Tyus Jones,G
22,20150204,Georgia Tech,W,1,38,3,10,0.3,1,6,0.16666666666666666,2,4,0.5,1,2,0.5,0.3333333333333333,1.5,0.9,0,2,2,5,3,0,4,2,9,0.7941360404921767,31,0.7670862069097346,42,0.8778759932986662,337,0.938507727201556,9,0.9163052730329498,24,1.034407390655722,211,Tyus Jones,G
