game_number,game_id,opponent,result,start,minutes,fg,fga,fg_pct,two_fg,two_fga,two_pct,three_fg,three_fga,three_pct,ft,fta,ft_pct,PPS_two,PPS_three,PPS,o_reb,d_reb,tot_reb,ast,stl,blk,tov,foul,pts,offball_zone_one,offball_zone_two,offball_zone_three,offball_zone_four,offball_zone_five,ball_one,ball_two,ball_three,ball_four,ball_five,name,position
1,20141114,Presbyterian,W,1,23,6,8,0.75,3,4,0.75,3,4,0.75,0,0,NaN,1.5,2.25,1.875,0,2,2,7,0,0,1,0,15,1,1.123194864,0.722670258,0.786526662,0.864815646,NaN,NaN,NaN,0.909931904,0.986244586,Tyus Jones,G
2,20141115,Fairfield,W,1,23,2,5,0.4,2,2,1,0,3,0,2,3,0.6666666666666666,2,0,1.2,1,2,3,5,2,0,2,0,6,0.564592736,0.755722687,0.593101707,0.589173585,0.870373794,NaN,0.902152342,0.958732472,0.928625525,0.939802839,Tyus Jones,G
3,20141118,Michigan State,W,1,31,4,5,0.8,2,2,1,2,3,0.6666666666666666,7,7,1,2,2,3.4,0,0,0,4,2,0,0,0,17,NaN,0.590520056,0.666739059,0.996577996,0.964796151,0.741185119,3.354669254,0.910124161,1.256655677,1.014529422,Tyus Jones,G
4,20141121,Temple,W,1,29,1,7,0.14285714285714285,0,3,0,1,4,0.25,2,2,1,0,0.75,0.7142857142857143,1,4,5,7,3,0,1,1,5,NaN,0.804519323,0.676126594,0.759104271,0.891993216,1.752568256,-0.08992147,0.924124878,1.009418032,1.030240139,Tyus Jones,G
5,20141122,Stanford,W,1,26,0,6,0,0,3,0,0,3,0,3,4,0.75,0,0,0.5,0,3,3,2,3,0,1,2,3,1,0.747503458,0.89156299,0.797411545,0.885886954,-0.793789865,NaN,0.789168807,0.950748175,1.004597278,Tyus Jones,G
6,20141126,Furman,W,1,23,0,2,0,0,1,0,0,1,0,0,0,NaN,0,0,0,0,2,2,7,1,0,2,0,0,0.600345905,1.152505832,0.998135699,0.922176023,0.827260691,0.634143923,NaN,0.898736429,1.002495734,0.928159203,Tyus Jones,G
7,20141130,Army,W,1,34,4,8,0.5,3,4,0.75,1,4,0.25,7,8,0.875,1.5,0.75,2,1,4,5,10,1,0,0,1,16,1,0.757967325,0.701559842,0.606320685,0.755950814,NaN,1.003242272,0.934879753,1.011331772,1.00547102,Tyus Jones,G
9,20141215,Elon,W,1,23,0,1,0,0,1,0,0,0,NaN,4,6,0.6666666666666666,0,NaN,4,1,0,1,4,2,0,4,3,4,0.662003334,0.900370126,0.881332039,1.024418706,0.91780436,NaN,1.046015201,1.040958832,0.919188173,1.091544809,Tyus Jones,G
11,20141229,Toledo,W,1,34,2,3,0.6666666666666666,0,0,NaN,2,3,0.6666666666666666,9,9,1,NaN,2,5,1,3,4,8,2,0,1,0,15,1,0.63259379,0.511252888,0.823126661,0.964774146,NaN,1.481960974,0.635711025,0.962464342,1.108073811,Tyus Jones,G
12,20141231,Wofford,W,1,32,2,4,0.5,1,2,0.5,1,2,0.5,0,0,NaN,1,1.5,1.25,0,6,6,5,4,0,2,3,5,NaN,0.792548843,0.950306294,0.907431508,0.869560061,1.647062607,0.894727298,0.85970386,1.095466187,0.943288125,Tyus Jones,G
